row__PRDLST_REPORT_NO,row__LCNS_NO,row__PRDLST_NM,row__BSSH_NM,row__PRDLST_DCNM,row__RAWMTRL_NM,
2018037178923,20180371789,17곡미미뻥,다니엘 컴퍼니,과자,곡류가공품,
2018037178922,20180371789,17곡미미뻥쌀,다니엘 컴퍼니,곡류가공품,멥쌀. 곡류가공품. 과채가공품. 재제소금(재제조소금). 효소처리스테비아. 코코넛분말. 검정콩분말. 도토리가루. 보리쌀가루. 찹쌀분말. 들깨가루. 율무분말. 귀리분말. 참깨분말. 현미가루. 통밀. 옥수수가루. 흑미가루. 서류가공품,
2010035827990,20100358279,17곡미숫가루,(주)새롬푸드 농업회사법인,곡류가공품,발아율무. 당근. 땅콩 또는 견과류가공품. 기장쌀. 흑미. 귀리. 수수. 현미. 찹쌀. 검정콩. 옥수수. 통밀. 대두. 멥쌀. 참깨. 차조. 발아녹두,
20050358194194,20050358194,17곡미숫가루,(주)에버헬스케어 농업회사법인,즉석섭취식품,멥쌀. 대두. 보리. 옥수수. 찹쌀. 현미. 수수. 조. 검정콩. 기장. 검은살. 율무. 당근. 검정깨(흑임자). 땅콩. 참깨. 들깨,
202103874551,20210387455,17곡미숫가루,완전식품,곡류가공품,밀쌀. 수수. 볶은검정콩. 찐율무. 볶은참깨. 검정깨볶음. 찐귀리. 이집트콩씨앗. 흑미. 메밀. 포도당. 찐쌀. 찐현미. 대두. 찐찹쌀. 현미보리. 좁쌀. 옥수수,
2010032100840,20100321008,17곡미숫가루,(주)청은에프엔비,곡류가공품,보리. 찐쌀. 옥수수. 대두볶음. 알파옥수수분말. 수수. 찹쌀. 차조. 검정콩. 율무. 참깨. 검정깨(흑임자). 땅콩. 현미. 들깨. 밀쌀. 쌀보리,
1989035501049,19890355010,17곡미숫가루,세라식품산업사,곡류가공품,검정콩. 보리. 대두볶음. 찹쌀. 쌀. 현미. 율무. 알파옥수수. 옥수수. 메밀. 기장. 밀쌀. 수수. 참깨. 땅콩. 밤. 마,
2009041500412,20090415004,17곡미숫가루,의성식품,기타가공품,옥수수. 메밀. 땅콩. 호박. 수수. 조. 찹쌀. 보리쌀. 쌀. 현미. 검정깨(흑임자). 검정콩. 맵쌀누룽지. 율무. 백태. 기장. 밀,
20040320032174,20040320032,17곡미숫가루A+,(주)뚜레반,곡류가공품,보리. 맵쌀. 현미. 대두. 찹쌀. 옥수수. 통밀. 수수. 조. 참깨. 땅콩. 들깨. 율무. 흑미. 검정깨(흑임자). 서리태. 검정콩,
20200532077103,20200532077,17곡발효곡물효소,(주)나노셀,곡류가공품,현미. 보리. 밀. 귀리. 율무쌀. 대두. 찹쌀. 흑미. 찰현미. 기장쌀. 수수. 찰흑미. 찰보리. 늘보리. 차조. 백태. 검정콩,
201700845882,20170084588,17곡발효효소분말,대일테크,효소식품,곡류혼합분말. 황국균,
2017008458813,20170084588,17곡발효효소분말-알파,대일테크,효소식품,Aspergillus oryzae. 곡류혼합분말,
2018037178935,20180371789,17곡보리범벅,다니엘 컴퍼니,과자,곡류가공품. 보리튀밥. 물엿. 설탕. 생강,
2008055809496,20080558094,17곡분말,농업회사법인 에프엔디큐웰(주),곡류가공품,들깨. 참깨. 차조. 수수. 율무쌀. 기장쌀. 흑미. 보리쌀. 발아현미. 찹쌀. 알파현미분말. 검정콩. 백태. 옥수수. 쌀. 현미. 보리,
20050360021343,20050360021,17곡분말,(주)지피코,곡류가공품,보리. 현미. 쌀. 옥수수. 밀. 백태. 검정콩. 찹쌀. 발아현미. 기장쌀. 흑미. 율무. 수수. 차조. 참깨. 들깨. 메밀,
2012036834152,20120368341,17곡인절미맛분말,신원에프앤에스,복합조미식품,볶음대두분말. 백설탕. L-글루탐산나트륨. 탈지분유. 포도당. 유당. 천일염. 5-리보뉴클레오티드이나트륨. 합성향료. 수크랄로스. 찰보리가루. 현미가루. 백태분말. 찹쌀분말. 율무쌀. 수수분말. 흑미가루. 검정콩분말. 밀쌀분. 차조분말. 팥가루. 옥수수가루. 볶은약콩. 기장쌀. 녹두씨앗. 귀리분말,
2018037178936,20180371789,17곡참깨범벅,다니엘 컴퍼니,과자,참깨. 물엿. 생강. 설탕. 곡류가공품,
2001032004047,20010320040,17곡한끼,구산식품,곡류가공품,대두. 보리. 쌀. 현미. 찐찹쌀. 통밀. 흑미. 검정콩. 검정깨(흑임자). 아몬드. 수수. 호두. 호박씨앗. 메밀. 해바라기씨앗. 땅콩분태. 찐율무. 백설탕,
2013055611753,20130556117,17곡함유혼합분말,주식회사 비엘에프씨,즉석섭취식품,옥수수. 검정콩. 메밀. 기장. 밀쌀. 참깨. 검정깨(흑임자). 찰보리. 현미쌀눈. 보리. 현미. 귀리. 쌀보리. 현미찹쌀. 찹쌀. 흑미. 백태. 조. 수수. 멥쌀. 율무,
2018037178943,20180371789,17곡해씨범벅,다니엘 컴퍼니,과자,곡류가공품. 해바라기씨앗. 물엿. 생강. 설탕,
19920355108337,19920355108,17곡현미 미숫가루,태광푸드(주),즉석섭취식품,현미. 보리. 멥쌀. 옥수수. 쌀보리. 흑미. 검정콩. 발아현미. 현미찹쌀. 백태. 찹쌀. 조. 율무쌀. 수수. 기장. 참깨. 검정깨(흑임자),
2018037178941,20180371789,17곡현미범벅,다니엘 컴퍼니,과자,현미. 물엿. 생강. 설탕. 곡류가공품,
2014060808665,20140608086,17곡혼합분말,(주)에코밀,곡류가공품,찹쌀. 백태. 현미. 찰보리. 율무쌀. 수수. 흑미. 검정콩. 밀쌀. 차조. 팥. 옥수수. 메밀. 약콩. 기장쌀. 녹두씨앗. 귀리,
19940607230242,19940607230,17곡혼합분말,(주)신광식품,곡류가공품,보리. 현미. 대두. 찹쌀. 율무. 수수. 흑미. 검정콩. 밀. 차조. 팥. 옥수수. 메밀. 쥐눈이콩. 기장. 녹두. 서리태,
19940607230478,19940607230,17곡혼합분말-이알,(주)신광식품,곡류가공품,흑미. 수수. 율무쌀. 보리. 현미. 대두. 찹쌀. 검정콩. 밀. 차조. 팥. 옥수수. 메밀. 검정콩. 기장쌀. 녹두. 검정콩,
20150461225978,20150461225,17곡혼합추출분말,해찬솔푸드,곡류가공품,혼합곡물추출액. 아라비아검. 덱스트린,
2018037178937,20180371789,17곡흑임자범벅,다니엘 컴퍼니,과자,곡류가공품. 검정깨(흑임자). 물엿. 생강. 설탕,
19940607230261,19940607230,17그레인분말,(주)신광식품,곡류가공품,보리. 현미. 대두. 찹쌀. 율무. 수수. 흑미. 차조. 팥. 옥수수. 메밀. 쥐눈이콩. 기장. 녹두. 밀. 검정깨(흑임자). 참깨,
20090440107154,20090440107,17년 예비군 도시락 하반기(떡갈비),주식회사 엘엔에프 농업회사법인,즉석섭취식품,반찬,
20090440107156,20090440107,17년 예비군도시락 하반기(돈까스),주식회사 엘엔에프 농업회사법인,즉석섭취식품,오렌지. 반찬. 배추김치. 반찬,
20090440107155,20090440107,17년 예비군도시락 하반기(제육볶음),주식회사 엘엔에프 농업회사법인,즉석섭취식품,반찬. 반찬. 오렌지. 반찬. 반찬. 반찬. 반찬,
20090440107152,20090440107,17년 예비군도시락(돈까스),주식회사 엘엔에프 농업회사법인,즉석섭취식품,쌀. 반찬. 반찬. 반찬. 반찬. 배추김치. 오렌지,
20090440107153,20090440107,17년 예비군도시락(떡갈비),주식회사 엘엔에프 농업회사법인,즉석섭취식품,반찬. 반찬. 반찬. 반찬. 쌀. 오렌지. 반찬,
20090440107151,20090440107,17년 예비군도시락(제육볶음),주식회사 엘엔에프 농업회사법인,즉석섭취식품,쌀. 반찬. 반찬. 반찬. 반찬. 반찬. 오렌지,
2019061414313,20190614143,17년숙성 하동청매실,로전,액상차,설탕. 청매실,
201804643191,20180464319,17배 산소수,수피아산소수,혼합음료,산소. 지하수,
20190358138149,20190358138,17스트로베리핑크,Littes(리트),타르색소제제,물엿. 글리세린. 주정. 식용색소적색제40호. 식용색소적색제3호. 식용색소황색제4호,
2009035511055,20090355110,17연양갱,(주)두라푸드,캔디류,팥앙금. 갈색설탕. 물엿. 분말결정포도당. 곡류가공품. 실한천. 혼합제제류,
2019049169257,20190491692,17종 열처리유산균사균체배양물,(주)바이텍 익산지점,기타가공품,기타가공품. 덱스트린,
20130309152109,20130309152,17종 유산균 배양액건조물(사균체),일동바이오사이언스(주),기타가공품,Limosilactobacillus reuteri(고시형). Lactobacillus gasseri(고시형). Lactobacillus acidophilus(고시형). Bifidobacterium longum(고시형). Bifidobacterium breve(고시형). Bifidobacterium animalis ssp. lactis(고시형). Lacticaseibacillus casei(고시형). Bifidobacterium bifidum(고시형). Lactobacillus helveticus(고시형). Lactiplantibacillus plantarum(고시형). Lactococcus lactis(고시형). Limosilactobacillus fermentum(고시형). Lacticaseibacillus paracasei(고시형). Ligilactobacillus salivarius(고시형). Streptococcus thermophilus(고시형). Lactobacillus johnsonii. Lactobacillus bulgaricus(고시형). 덱스트린,
20150182104714,20150182104,17종 프롤린 모유 생유산균 포스트바이오틱스,다원바이오,기타가공품,자일리톨. 과채가공품. L-프롤린. 프로바이오틱스 HY7714(기능성원료인정제2015-1호). 두류가공품. 산화아연. 판토텐산칼슘. 프로바이오틱스 HY7714(기능성원료인정제2015-1호). 기타가공품. 덱스트린. 프락토올리고당. 이소말트. 식물성크림,
20150182104795,20150182104,17종 프롤린 포스트바이오틱스 모유 생유산균,다원바이오,기타가공품,덱스트린. 이소말트. 프락토올리고당. 식물성크림. 자일리톨. 과채가공품. L-프롤린. 기타가공품. 두류가공품. 산화아연. 프로바이오틱스 HY7714(기능성원료인정제2015-1호). 판토텐산칼슘,
1975041500186,19750415001,17종 혼합 유산균 사균 분말,중앙미생물연구소,기타가공품,유산균. 유당. 덱스트린,
