row__PRDLST_REPORT_NO,row__LCNS_NO,row__PRDLST_NM,row__BSSH_NM,row__PRDLST_DCNM,row__RAWMTRL_NM,,
20130556117327,20130556117,247아워핏 귀리,주식회사 비엘에프씨,기타가공품,표고버섯. 브로콜리. 녹차가루. 양배추. 미역. 멸치. 다시마. 사과. 딸기. 효소처리스테비아. 들깨. 검정깨(흑임자). 세븐베리농축분말. 기타가공품. 곤약분말. 치커리추출물. 바질씨앗. 아마씨앗. 난소화성말토덱스트린(고시형). 호두. 유청분말. 결정과당. 아몬드. 백태. 강낭콩. 볶은귀리. 포도당. 분리대두단백. 귀리. 볶은쌀눈분말. 캐슈견과. 기타가공품. 마카다미아,,
20130556117323,20130556117,247아워핏 초코,주식회사 비엘에프씨,기타가공품,현미. 결정과당. 식물성크림. 코코아분말. 포도당. 난소화성말토덱스트린(고시형). 분리대두단백. 아몬드. 땅콩. 당류가공품. 설탕. 카제인나트륨. 혼합제제. 효소처리스테비아. 기타가공품. 기타가공품. 보리. 유청분말. 기타코코아가공품. 혼합분유,,
20130556117322,20130556117,247아워핏 흑미,주식회사 비엘에프씨,기타가공품,카제인나트륨. 효소처리스테비아. 기타가공품. 검정콩. 혼합분유. 아몬드. 보리. 기타가공품. 설탕. 땅콩. 결정과당. 검정깨(흑임자). 흑미. 식물성크림. 유청분말. 포도당. 난소화성말토덱스트린(고시형). 분리대두단백,,
2020041306895,20200413068,247폴리자임,(주)뉴트리케어,기타가공품,효모식품. 기타가공품. 과.채가공품. 블루베리농축분말. 아티초크추출분말,,
201402941497,20140294149,24H,(주)빈스페이스,커피,볶은커피,,
201900062966,20190006296,24K 골든에일,주식회사 바다토끼,맥주,정제수. 맥아. 호프펠렛. 효모. 이산화탄소,,
200803602841197,20080360284,24Y한라봉샌드시트(1호),홈플러스 주식회사,빵류,베이킹파우더포뮬러. 식품첨가물. 물엿. 웰가에스피. 한라봉향. 가공버터. 콩기름(대두유). 우유. 난황. 정제소금. 기타가공품. 살균전란액. 설탕. 한라봉. 박력분. 식물성크림. 가공유크림. 정제수. 음료베이스,,
20160242045277,20160242045,24결 미니버터크로아상 생지,(주)다우에프에스,빵류,빵류. 강력분,,
200404490103770,20040449010,24결 버터 시나몬롤 페스츄리,주식회사신세계푸드천안공장,빵류,천연향신료. 유함유가공품. 밀가루. 효모. 설탕. 당류가공품. 전란액. 기타설탕. 정제수. 가공버터. 밀가루. 정제소금. 식품첨가물혼합제제. 곡류가공품,,
20160242045278,20160242045,24결 크로아상생지,(주)다우에프에스,빵류,빵류. 강력분,,
20070156181862,20070156181,24겹몽블랑페스츄리,롯데웰푸드(주),빵류,설탕. 설탕. 기타설탕. 밀가루. 당류가공품. 가공버터. 밀가루. 정제수. 구아검. 천연향신료. 유함유가공품. 기타가공품. 혼합제제. 정제소금. 효모. 식물성크림. 기타가공품. 전란액. 물엿. 마가린,,
20070372022164,20070372022,24곡 곡류효소,숭인내추럴팜 주식회사,효소식품,보리쌀. 흑미. 쌀. 황국균. 녹두. 팥. 백태. 약콩. 검정콩. 율무. 차조. 찰기장. 수수. 발아흑미. 발아찰현미. 발아현미. 늘보리. 보리쌀. 찰보리쌀. 찰흑미. 찰현미. 찹쌀. 현미. 흑미. 검정콩,,
20110449015326,20110449015,24곡곡류효소분말,주식회사오투바이오,곡류가공품,곡류효소,,
20020445146626,20020445146,24곡분말,(주)원우,곡류가공품,현미가루. 쌀가루. 옥수수가루. 보리가루. 밀가루. 건조완두콩. Tef씨앗. 아마란스분말. 트리티케일씨앗. 아마씨앗분말. 수수분말. 조. 퀴노아가루. 통밀가루. 아몬드분말. 메밀가루. 녹두가루. 검정콩분말. 귀리. 대두분. 흑미가루. 호밀분말,,
20040372016284,20040372016,24시 내고향 청국장,선경식품,청국장,대두. 천일염. 고추씨앗,,
200100535802596,20010053580,24시 탐나는 프리미엄 국밥육수,엠지푸드솔루션 주식회사,소스,향신료조제품. 카라멜색소 Ⅲ. 소스. 소스. 변성전분. 식육추출가공품. 정제수,,
1984046701097,19840467010,24시간 숙성으로 쫄깃함이 살아있는 찰당면,농업회사법인(주)안성식품,건면,고구마전분. 키토산분말(고시형),,
2014046300231,20140463002,24시간 정성담은 직화구이김,송원식품,조미김,정제소금. 참기름. 옥수수기름(옥배유). 김,,
2006033206211,20060332062,24시간 정성담은 직화구이김,대양식품,조미김,가공소금. 참기름. 재래김. 옥수수기름(옥배유),,
201001343181,20100134318,24시부산순대,24시부산순대,즉석조리식품,당면. 다시다. 건무. 제재염. L-글루타민산나트륨. 당근. 생강. 후추. 전분. 마늘. 찹쌀. 쌀. 찐살. 콩나물. 돼지소창. 돼지선지. 돼지고기. 설탕,,
201001343184,20100134318,24시부산순대국다데기,24시부산순대,향신료조제품,null,,
201001343183,20100134318,24시부산순대깍두기,24시부산순대,김치,간생강. 간마늘. 백설탕. 무. 펄슈가. 천일염. 고춧가루. 물엿,,
201902200285,20190220028,24온스 드립백,쁘앙송,커피,커피원두분말,,
201902200287,20190220028,24온스 드립백(some),쁘앙송,커피,커피원두분말,,
201902200284,20190220028,24온스 로스팅 원두커피 - 과테말라,쁘앙송,커피,커피,,
201902200282,20190220028,24온스 로스팅 원두커피 - 브라질,쁘앙송,커피,커피,,
201902200283,20190220028,24온스 로스팅 원두커피 - 에티오피아,쁘앙송,커피,커피,,
201605413399,20160541339,24종류의 곡물.견과.채소로 만든 곡.견.채 누룽지스프,농업회사법인 주식회사 쌍금,즉석조리식품,건조표고버섯분말. 양파분말. 볶은개암분말. 건조호박분말. 당근분말. 양배추분말. 마늘분태. 건대파. 토마토분말. 가공소금. 다시마분말. 부추분말. 브로콜리분말. 강황가루. 감초분말. 검정깨(흑임자). 볶은참깨. 누룽지. 코코넛꽃액즙분말. 찹쌀. 쌀. 볶음대두분말. 볶은녹두. 볶은아몬드분말,,
201605413394,20160541339,24종류의 곡물.견과.채소로채운 호두죽,농업회사법인 주식회사 쌍금,즉석조리식품,찹쌀. 대두. 볶은녹두. 볶은아몬드분말. 볶은참깨. 건조표고버섯분말. 건양파분말. 볶은헤이즐넛. 서양호박분말. 건조당근분말. 검정깨(흑임자). 건양배추. 건마늘분태. 건대파. 토마토분말. 가공소금. 건다시마분말. 부추분말. 건브로콜리분말. 강황가루. 감초분말. 호두분태. 코코넛꽃액즙분말. 현미,,
2016054133910,20160541339,24종류의 곡물.견과.채소로 만든 곡견채 누룽지 스프 호두플러스,농업회사법인 주식회사 쌍금,즉석조리식품,볶은아몬드분말. 볶은참깨. 검정깨(흑임자). 건조표고버섯분말. 양파분말. 볶은개암분말. 건조호박분말. 당근분말. 건양배추. 건대파. 건마늘분태. 토마토분말. 가공소금. 다시마분말. 부추분말. 브로콜리분말. 강황가루. 감초분말. 볶은녹두. 볶음대두분말. 누룽지. 코코넛꽃액즙분말. 호두분태. 찹쌀. 쌀,,
201605413396,20160541339,24종류의곡물.견과.채소로채운죽,농업회사법인 주식회사 쌍금,즉석조리식품,현미. 찹쌀. 볶음대두분말. 볶은녹두. 볶은아몬드분말. 볶은참깨. 건조표고버섯분말. 건양파분말. 볶은개암분말. 서양호박분말. 건조당근분말. 검정깨(흑임자). 건양배추그릿츠. 건마늘분태. 건대파. 토마토분말. 가공소금. 건다시마분말. 부추분말. 건브로콜리분말. 강황가루. 감초분말,,
201605413398,20160541339,24종류의곡물견과채소로만든햄프씨드죽,농업회사법인 주식회사 쌍금,즉석조리식품,당근분말. 검정깨(흑임자). 건양배추. 건마늘분태. 건대파. 토마토분말. 가공소금. 건다시마분말. 부추분말. 브로콜리분말. 강황가루. 감초분말. 서양호박분말. 개암가루. 건양파분말. 삼씨앗. 현미. 코코넛꽃추출물분말. 찹쌀. 대두볶음분말. 녹두가루. 구운아몬드분말. 참깨. 표고버섯가루,,
2021035057238,20210350572,24하루견과,주식회사 율성푸드랩 제1공장,땅콩 또는 견과류가공품,땅콩 또는 견과류가공품. 기타가공품. 구운캐슈. 호두. 구운아몬드,,
2021035057253,20210350572,24하루견과레드,주식회사 율성푸드랩 제1공장,땅콩 또는 견과류가공품,당절임. 브라질넛견과. 구운캐슈. 구운아몬드. 호두,,
2016037230727,20160372307,24혼합곡물,그랜드푸드,곡류가공품,곡류가공품,,
2019040435698,20190404356,25 고단백질바 크런치,에스앤푸드주식회사,땅콩 또는 견과류가공품,프락토올리고당. 땅콩 또는 견과류가공품. 준초콜릿. 두류가공품. 땅콩버터. 백설탕. 두류가공품. 코코아분말. 채종유(유채유 또는 카놀라유). 타우린. 향료. 정제소금. 레시틴. d-토코페롤(혼합형). 향료,,
1967050600113,19670506001,25% 가성소다액,백광산업(주)여수공장,수산화나트륨,원재료미등록,,
199002470555,19900247055,25% 수산화나트륨,한화솔루션(주)울산1,수산화나트륨,정제수. 수산화나트륨,,
199004840995,19900484099,25%가성소다,백광산업 주식회사,수산화나트륨액,수산화나트륨,,
198105060018,19810506001,25%가성소다,한화솔루션(주)여수공장,수산화나트륨액,가성소다. 정제수,,
201804521299,20180452129,25%수산화나트륨,(주)서울아이씨,수산화나트륨액,정제수. 수산화나트륨,,
20010415034210,20010415034,2500 쁘띠롱,국제제과(주),초콜릿가공품,밀가루. 쇼트닝. 미분당. 가공초콜릿. 차아황산나트륨. 마가린. 포도당,,
202001698394,20200169839,250치즈돈까스(냉동),에이스식품,식육함유가공품,기타가공품. 연성치즈. 정제수. 베타믹스. 돼지등심,,
2015047897814,20150478978,252누룽지,유한회사지호농업회사법인,곡류가공품,쌀,,
2012036853619,20120368536,255 에스프레소,이든커피로스터스,커피,커피생두. 커피생두. 커피생두. 커피생두,,
19950449004364,19950449004,258꿀강정소스,금양식품(주),소스,고춧가루. 백설탕. 혼합간장. 벌꿀. 물엿. 영화물엿-맥아엿. 토마토케첩. 냉동마늘. 양파. 고추장. 쇠고기맛콤비다시. 계피가루. 잔탄검. 정제소금. L-글루타민산나트륨. 흑후추가루. 셀러리분말. 올레오레진파프리카. 카라멜색소. 생강,,
19950449004386,19950449004,258꿀강정소스(매운맛),금양식품(주),소스,생강. 물엿. 영화물엿-맥아엿. 토마토케첩. 냉동마늘. 양파. 벌꿀. 혼합간장. 백설탕. 고춧가루. 고추장. 쇠고기맛콤비다시. 계피가루. 잔탄검. 정제염. L-글루타민산나트륨. 흑후추가루. 셀러리분말. 올레오레진파프리카. 올레오레진？시컴. 카라멜색소,,
19950449004545,19950449004,258꿀강정소스CH,금양식품(주),소스,물엿. 영화맥아. 토마토케첩. 냉동마늘. 양파. 백설탕. 혼합간장. 벌꿀. 고춧가루. 고추장. 진다시. 정제소금. 흑후추가루. 계피. 잔탄검. 녹차풍미액A. L-글루타민산나트륨. 셀러리분말. 생강. 올레오레진파프리카. 카라멜색소,,
19950449004535,19950449004,258전용파우다,금양식품(주),곡류가공품,옥수수전분. 박력분. 정제소금. 변성전분. L-글루타민산나트륨. 구아검. 대두기름. 흑후추가루. 마늘가루. 백설탕. 올레오레진투메릭. 올레오레진캪시컴. 분리대두단백. 산성피로인산나트륨. 고춧가루. 양파분말. 계피. 탄산수소나트륨. 함수결정포도당. 잔탄검,,
2004015010449,20040150104,25FC파우더,해광식품,곡류가공품,혼합제제. 정제혐. 밀가루. 백설탕. 식물성크림2,,
2008032038778,20080320387,25g의 정성,(주)더채움,땅콩 또는 견과류가공품,구운아몬드. 호두. 구운캐슈넛. 요거트건포도초코볼. 건체리,,
20080320387104,20080320387,25구람 골드,(주)더채움,땅콩 또는 견과류가공품,구운아몬드. 구운캐슈. 구운피칸. 브라질넛견과. 구운피스타치오,,
20080320387103,20080320387,25구람 블루,(주)더채움,땅콩 또는 견과류가공품,구운아몬드. 기타가공품. 구운캐슈. 구운피칸. 건조덩굴월귤,,
20080320387102,20080320387,25구람 핑크,(주)더채움,땅콩 또는 견과류가공품,구운아몬드. 구운캐슈. 구운피칸. 과자류. 초콜릿가공품,,
2021062234815,20210622348,25까페,(주)영림언어평생교육지원연구소연동지점,커피,커피원두,,
2022051709125,20220517091,25냉면 속초 코다리냉면,(주)에이티푸드,즉석조리식품,숙면. 소스. 양념젓갈. 소스. 절임식품. 참기름,,
2022051709127,20220517091,25냉면 속초 코다리막국수,(주)에이티푸드,즉석조리식품,생면. 소스. 소스. 양념젓갈. 조미김,,
2022051709126,20220517091,25냉면 함흥 물냉면,(주)에이티푸드,즉석조리식품,소스. 숙면. 절임식품. 소스. 향신료조제품,,
2022017106311,20220171063,25도커피 5핸소-곰곰이,라미랑드,커피,커피원두. 커피원두. 커피원두,,
2022017106324,20220171063,25도커피 5핸소-곰곰이(더치커피),라미랑드,커피,정제수. 커피원두추출액. 커피원두추출액. 커피원두추출액,,
202201710638,20220171063,25도커피 5핸소-달달이,라미랑드,커피,커피원두. 커피원두. 커피원두,,
2022017106320,20220171063,25도커피 5핸소-달달이(더치커피),라미랑드,커피,정제수. 커피원두추출액. 커피원두추출액. 커피원두추출액,,
2022017106312,20220171063,25도커피 5핸소-소담이,라미랑드,커피,커피원두. 커피원두,,
2022017106321,20220171063,25도커피 5핸소-소담이 더치커피,라미랑드,커피,정제수. 커피원두추출액. 커피원두추출액,,
2022017106322,20220171063,25도커피 5핸소-우연이,라미랑드,커피,정제수. 커피원두추출액. 커피원두추출액,,
202201710639,20220171063,25도커피 5핸소-우연이,라미랑드,커피,커피원두. 커피원두,,
2022017106310,20220171063,25도커피 5핸소-촉촉이,라미랑드,커피,커피원두. 커피원두,,
2022017106323,20220171063,25도커피 5핸소-촉촉이(더치커피),라미랑드,커피,커피원두추출액. 정제수. 커피원두추출액,,
2015015415620,20150154156,25센치 꼬치소스,엘케이(LK)푸드,소스,양조간장. 기타주류. 물엿. 닭발. 대파. 생강. 간마늘. 건고추. 흑설탕향,,
2015015415637,20150154156,25센치 타르타르,엘케이(LK)푸드,소스,마요네즈. 사이다. 설탕. 식초. 기타소금. 건조파슬리분말. 양파,,
200804490041269,20080449004,25센치골뱅이무침양념,(주)금진식품,향신료조제품,소스. 생강. 볶은참깨. 복합조미식품. 복합조미식품. 복합조미식품. 후추가루. 고추장. 소스. 향신료조제품. 설탕. 과채음료. 마늘. 고춧가루. 당류가공품. 과.채가공품. 과.채가공품. 양파. 발효식초. 참기름,,
20100378076321,20100378076,25종곡물야채발효분말,주식회사해나눔,기타가공품,Pediococcus acidilactici. Lactobacillus plantarum. Lactobacillus casei. 율무씨앗. 보리. 대두. 현미. 검정콩. 기타가공품,,
20070372022264,20070372022,25종효소분말,숭인내추럴팜 주식회사,효소식품,Aspergillus oryzae. 식물혼합분말,,
201900120091,20190012009,264 청포도 와인 12.5%,264청포도와인,과실주,포도열매. 설탕. 메타중아황산칼륨. 효모. 소브산칼륨,,
200004843538,20000484353,264청포도빵,(주)화과방,빵류,혼합제제. 팽창제제. 서류가공품. 마가린. 강력분. 난황액. 밀가루. 가당연유. 조림류,,
201900120093,20190012009,264청포도와인 11.5,264청포도와인,과실주,효모. 소브산칼륨. 설탕. 청포도. 메타중아황산칼륨,,
201900120092,20190012009,264청포도와인 13.5%,264청포도와인,과실주,포도열매. 설탕. 메타중아황산칼륨. 효모. 소르빈산칼륨,,
2008060425682,20080604256,26년 전통 귀빈정 꼬막장,주식회사 덕이네,절임식품,볶은통깨. 후추가루. 참기름. 설탕. 마늘. 고추. 물엿. 당근. 파. 정제수. 혼합간장. 꼬막,,
2008060425670,20080604256,26년 전통 귀빈정 달래연어장,주식회사 덕이네,절임식품,청양고춧가루. 고춧가루. 청양고추. 잔파. 혼합간장. 달래. 연어,,
2008060425667,20080604256,26년 전통 귀빈정 달래장,주식회사 덕이네,절임식품,달래. 혼합간장. 잔파. 청양고추. 고춧가루. 볶은통깨,,
2008060425668,20080604256,26년 전통 귀빈정 달래전복장,주식회사 덕이네,절임식품,왕전복. 달래. 혼합간장. 잔파. 청양고추. 고춧가루. 청양고춧가루,,
2008060425669,20080604256,26년 전통 귀빈정 달래표고장,주식회사 덕이네,절임식품,표고버섯. 달래. 혼합간장. 잔파. 청양고추. 고춧가루. 청양고춧가루,,
2008060425683,20080604256,26년 전통 귀빈정 양념 꼬막장,주식회사 덕이네,절임식품,후추가루. 참기름. 설탕. 간장. 청양고추. 파. 당근. 물엿. 액젓. 고춧가루. 무. 꼬막. 볶은통깨,,
2008060425657,20080604256,26년 전통 원조 통영 생굴무침,주식회사 덕이네,양념젓갈,굴. 무. 액젓. 고춧가루. 파. 당근. 청양고추. 볶은참깨. 참기름,,
2014048721512,20140487215,26년전통 귀빈정 간장게장,(유)브이아이피,절임식품,황칠나무. 간장. 정제수. 꽃게. 슈가파우더. 사과. 멸치농축액. 계피. 총각무. 노란콩. 양파. 혼합깨. 다시마. 대파. 마늘. 생강. 식초. 미림향. 후추가루. 표고버섯. 명태. 대추. 감초. 둥굴레. 검정콩,,
2014048721513,20140487215,26년전통 귀빈정 돌게장,(유)브이아이피,절임식품,민꽃게. 정제수. 간장. 황칠나무. 멸치농축액. 검정콩. 둥굴레. 감초. 대추. 명태. 건표고버섯. 후추가루. 총각무. 사과. 양파. 노란콩. 계피. 건조다시마. 혼합깨. 대파. 마늘. 생강. 식초. 미림향,,
2019020602544,20190206025,26년전통 귀빈정 얼큰이 김치우동,(주)준유통,기타가공품,숙면. 김치. 소스. 기타 농산가공품. 가공두부,,
2014048721514,20140487215,26년전통 맛집 홀딱 깐 새우장,(유)브이아이피,절임식품,깐새우살. 정제수. 간장. 황칠나무. 검정콩. 둥굴레. 감초. 대추. 명태. 표고버섯. 후추가루. 미림향. 식초. 생강. 마늘. 대파. 다시마. 멸치농축액. 혼합깨. 계피. 노란콩. 사과. 총각무. 양파,,
2008060425681,20080604256,26년전통 순살간장새우장,주식회사 덕이네,절임식품,새우. 혼합간장. 설탕. 청양고추. 물엿. 마늘. 생강. 고추,,
2007035590060,20070355900,26년전통맛집 귀빈정 누들떡,(주)황소식품,떡류,면류첨가알칼리제. 기타식용유지. 정제소금. 전분가공품. 밀가루,,
2017044900976,20170449009,26년전통맛집 귀빈정 명장 수제알탕,주식회사 대명에프에스,기타 수산물가공품,명태알. 대파. 명태곤이. 무. 육수. 소스,,
2017044900975,20170449009,26년전통맛집 무진장 국내산 통돼지묵은지 김치찜,주식회사 대명에프에스,조림류,김치. 돼지고기. 소스. 정제수. 마늘. 소스. 고춧가루. 식초. 복합조미식품. 생강. L-글루탐산나트륨. 후추가루,,
2009033229717,20090332297,26전 대보차,(주)명품산야초,액상차,구기자나무열매. 황기. 작약. 천궁. 두충. 당귀. 오가피. 건생강. 건대추. 산약. 포공영. 헛개나무열매. 산사나무열매. 홍화씨. 보리. 결명자. 뽕나무어린가지. 창출. 사철쑥. 칡뿌리. 귤나무열매껍질. 복분자. 복령. 지황포제가공한 뿌리. 감초,,
20170372040905,20170372040,26종 식물혼합분말,(주)더원네이처,기타가공품,검정콩. 비수리. 여주. 국화. 감귤껍질. 꾸지뽕나무잎. 하수오덩이뿌리. 뚱딴지. 맥문동뿌리. 복령균핵. 삽주뿌리줄기. 약모밀지상부. 지황. 오미자열매. 쇠무릅뿌리. 모과. 퉁퉁마디. 한련초잎. 구아바잎. 결명자열매. 구기자나무열매. 밀리타리스동충하초. 비파나무열매(씨앗제외). 기타가공품. 구름버섯균사체. 현미,,
201203290491,20120329049,275BK콘,주식회사 지이피트레이딩(GP trading),과자,식용색소청색제2호. 식용색소청색제1호. 식용색소적색제40호. 식용색소황색제5호. 식용색소황색제4호. 탄산수소나트륨. 대두레시틴(고시형). 기타소금. 설탕. 포도씨앗유. 옥수수전분. 밀가루. 정제수,,
201203290492,20120329049,275OR콘,주식회사 지이피트레이딩(GP trading),과자,정제수. 밀가루. 옥수수전분. 포도씨앗유. 설탕. 기타소금. 탄산수소나트륨. 대두레시틴(고시형),,
201203290493,20120329049,275RD콘,주식회사 지이피트레이딩(GP trading),과자,식용색소황색제5호. 식용색소적색제40호. 식용색소적색제3호. 기타소금. 설탕. 포도씨앗유. 옥수수전분. 밀가루. 정제수. 식용색소황색제4호. 탄산수소나트륨. 대두레시틴(고시형),,
2021035077417,20210350774,275커피 블렌딩,주식회사 커피누리,커피,커피원두. 커피원두. 커피원두,,
20180372466297,20180372466,275커피 블렌딩,뉴지코리아(주),커피,볶은커피원두,,
2021035077420,20210350774,275커피 시그니처,주식회사 커피누리,커피,커피원두. 커피원두. 커피원두,,
20180372466298,20180372466,275커피 싱글오리진,뉴지코리아(주),커피,볶은커피원두,,
2021035077419,20210350774,275커피 에티오피아,주식회사 커피누리,커피,커피원두,,
200703553071704,20070355307,27로고T,(주)토스크,기타 코코아가공품,이산화티타늄. 코치닐추출색소. 채종유(유채유 또는 카놀라유). 기타코코아가공품,,
20150461225609,20150461225,27종 과일야채혼합농축분말,해찬솔푸드,과.채가공품,덱스트린. 과일채소혼합농축액,,
20200467503110,20200467503,27종 과일야채혼합농축분말,올담식품,과.채가공품,덱스트린. 과일채소혼합농축액,,
20180456001526,20180456001,27종 과일야채혼합농축분말,(주)가온에프앤비,과.채가공품,덱스트린. 야채농축액. 세븐베리농축액. 아라비아검,,
20200467503474,20200467503,27종 과일야채혼합농축액,올담식품,과.채가공품,과.채가공품. 과.채가공품,,
2020036311314,20200363113,27종 과일야채혼합분말 M-0040,메이,과.채가공품,덱스트린. 과.채가공품,,
20090458111334,20090458111,27종과일야채혼합농축분말,(주)화인에프티,과.채가공품,과일채소혼합농축액. 덱스트린,,
200703553071705,20070355307,27핑크큐브판,(주)토스크,기타 코코아가공품,기타코코아가공품. 채종유(유채유 또는 카놀라유). 가공유지. 코치닐추출색소. 향료,,
20100358279127,20100358279,28곡 꽈배기,(주)새롬푸드 농업회사법인,곡류가공품,곡류가공품. 대두분. 옥수수전분. 인스턴트이스트. 밀글루텐. 혼합제제. 찹쌀분말. 정제소금. 탈지분유. 포도당. 알파옥수수분말. 설탕. 밀가루,,
