row__PRDLST_REPORT_NO,row__LCNS_NO,row__PRDLST_NM,row__BSSH_NM,row__PRDLST_DCNM,row__RAWMTRL_NM,,,,,,
1994047401896,19940474018,홍삼골드,(주)중앙타프라,인삼.홍삼음료,한수구연산. 액상카라멜. 구연산삼나트륨. 허브향. 염화나트륨. 정제수. 액상과당. 계피추출액. 홍삼농축액. 구기자농축액. 영지농축액. 대추농축액. 황정농축액,,,,,,
200502111343,20050211134,홍삼액,녹원식품,인삼.홍삼음료,홍삼,,,,,,
197506140031288,19750614003,홍삼향 엠에프-908105,(주)엠에스씨,혼합제제,허브향. 베이직오일. S-1. 홍삼향베이스. J-1. 주정. 프로필렌글리콜,,,,,,
20010306244399,20010306244,효모조미액분말NM,주식회사 화경,복합조미식품,이스트엑기스분말티케이. 덱스트린. 효모추출물. 정제소금. 에이취브이피-비. 5'-리보뉴클레오티드이나트륨. 글리신. 후레바메이트,,,,,,
20130355300939,20130355300,!페스츄리 호두과자-오리지널,(주)더베이커리랩 제2공장,과자,조림류. 호두. 빵류,,,,,,
19950433026730,19950433026,"""A+Live"" 홍삼에너지 드링크",(주)금강비앤에프,탄산음료,과당. 타우린. 구연산(결정). 비타민C. 이노시톨. 카페인. DL-알라닌. 니코틴산아미드. 수크랄로스. 구연산삼나트륨. 글리신. 비타민B12혼합제제분말. 재제소금(재제조소금). 판토텐산칼슘. 비타민B6염산염. 비타민B2. L-카르니틴. 은행잎추출물분말. 배농축액. 홍삼농축액. 후르츠믹스향. 망고향. 망고향. 이산화탄소. 정제수,,,,,,
19660202002131,19660202002,"""THE바삭""깐쇼새우",대인에프앤씨 주식회사,기타 수산물가공품,베이킹파우더. L-글루탐산나트륨. 정제소금. 식물성유지. 기타가공품. 전분. 정제수. 밀가루. 새우,,,,,,
20100515088269,20100515088,"""날마다 변하게"" 효소타임",엔피케이(주),효소식품,효소식품. 백태분말. 바나나맛분말. 알파현미분말. 효소식품. 히알루론산혼합제제. 생선콜라겐. 과일혼합분말. 효소처리스테비아. 아미노산혼합제제. 건조효모. Clostridium butyricum strain Miyairi. 대나무잎추출물. 난소화성말토덱스트린(고시형). 프락토올리고당(고시형). 여두분말. 바나나향분말. 포도당. 비타민미네랄혼합제제. 차전자피식이섬유(고시형). 치커리뿌리추출물분말. 유산균혼합분말. 효모추출물. 혼합야채분말,,,,,,
20190374817236,20190374817,"""달라질걸 카무트 브랜드밀 함유효소",정인바이오,효소식품,난소화성말토덱스트린(고시형). 분리대두단백분말. 동결건조파인애플분말. 건조효모. 비타민C. 비타민D3혼합제제. 분말비타민A혼합제제. 비타민E혼합제제. 비타민B6염산염. 비타민B2. 비타민B1염산염. 10종혼합유산균분말. 효소식품. 곡물발효효소분말. 체리농축분말. 석류농축분말. 프락토올리고당,,,,,,
200706180271018,20070618027,"""맛""깻잎 시즈닝",농업회사법인주식회사웰빙라이프,과.채가공품,건조들깻잎. 후추분태. 마늘분태. 파마산치즈분말. 기타소금. 아몬드분태,,,,,,
199304730953,19930473095,"""맛돌""곱창 복음 양념장",청호식품,혼합장,간장. 고춧가루. 마늘. 참기름. 생강. 들깨. 참깨. 정제수,,,,,,
199304730955,19930473095,"""맛돌""곱창 전골 양념장",청호식품,복합조미식품,간장. 고춧가루. 마늘. 참기름. 설탕. 정제수,,,,,,
199304730954,19930473095,"""맛돌""낙지 복음 양념장",청호식품,복합조미식품,간장. 물엿. 고춧가루. 양파. 마늘. 참기름. 생강. 정제수,,,,,,
199304730956,19930473095,"""맛돌""내장탕 양념장",청호식품,복합조미식품,고춧가루. 고추씨. 마늘. 생강. 소금. 정제수,,,,,,
199304730957,19930473095,"""맛돌""우설수육 양념장",청호식품,복합조미식품,고춧가루. 마늘. 설탕. 식초. 간장. 정제수,,,,,,
20200211181399,20200211181,"""용"" 떡볶이소스",만포소스연구소,복합조미식품,설탕. 덱스트린. 고춧가루. 포도당. L-글루탐산나트륨. 복합조미식품. 옥수수전분. 가공소금. 고춧가루. 복합조미식품. 천연향신료. 향신료조제품,,,,,,
2003014420949,20030144209,"""쫄깃쫄깃"" 한입 아귀봉",주식회사 에스엔씨메이드,기타 수산물가공품,아귀,,,,,,
2018052600219,20180526002,"""찐""바나나칩",다산명작협동조합,과.채가공품,바나나,,,,,,
1985031100113470,19850311001,"""청기와타운 양곰탕""",태원식품산업(주),즉석조리식품,정제수. 양념육. 양념육. 소고기. 대파. 식육함유가공품. 고춧가루. 소스. 소스. 복합조미식품. 고추맛기름. 소스. L-글루탐산나트륨. 정제소금. 사골농축액. 마늘. 생강. 천연향신료. 파프리카추출색소,,,,,,
2011052111815,20110521118,"""햇콩마루""장흥매장아찌",농업회사법인 주식회사 장흥식품,기타 농산가공품,매실과육. 정제소금,,,,,,
2011052111813,20110521118,"""햇콩마루""장흥황칠청국장(건청국장.가루)",농업회사법인 주식회사 장흥식품,곡류가공품,황칠나무추출물. 청국장,,,,,,
2016014422930,20160144229,# 인생김 곱창도시락김,(주)청산에식품,조미김,김,,,,,,
19950368109590,19950368109,#00277비엔나골드,(주)세우아이앤씨,향신료조제품,올레오레진생강. 올레오레진파프리카. #36006카다몬스텐다드. 오일. 육두구오일. 올레오레진파슬리씨드. 올레오레진 셀러리. 칠리익슨트렉트오일. L-글루타민산나트륨. 겨자분말. 생강가루. 생강클래식. 너트멕클래식. 흰후추분말. 소두구분말. 함수포도당. 육두구분말,,,,,,
202002608961,20200260896,#1,블루웨이브,커피,볶은커피원두. 볶은커피원두. 볶은커피원두,,,,,,
202001953958,20200195395,#1,그레이드원커피로스터스,커피원두,볶은커피원두. 볶은커피원두,,,,,,
20180372466286,20180372466,#1 시그니쳐 오드카페,뉴지코리아(주),커피,볶은커피원두,,,,,,
20190393064482,20190393064,#1 콜드브루,주식회사 핸디엄,커피,커피추출액,,,,,,
2022051474641,20220514746,#1번 블렌딩,주식회사 웜클라우드,커피,커피원두,,,,,,
201806011691,20180601169,#1에스프레소,디씨엘(DCL)로스터,커피원두,건조커피. 건조커피. 건조커피. 건조커피,,,,,,
201801347233,20180134723,#201,(주)라페니체,커피,커피원두,,,,,,
2022051474639,20220514746,#2번 블렌딩,주식회사 웜클라우드,커피,커피원두,,,,,,
2016003338514,20160033385,#3,골드버튼커피로스터스,커피,커피원두,,,,,,
2016003338531,20160033385,#3 블렌딩,골드버튼커피로스터스,커피,볶은커피원두,,,,,,
201801347239,20180134723,#301,(주)라페니체,커피,커피원두,,,,,,
19900445005630,19900445005,#31353 스넥후레이버(SNACK FLAVOR),주식회사 에이치더블유,복합조미식품,정제소금. 덱스트린. 백설탕. 곡류가공품. 감자전분. 카레. L-글루타민산나트륨. 복합조미식품. 복합조미식품. 유청분말. 복합조미식품. 복합조미식품. 혼합탈지분유. 구아검. 양파분말. 분말셀룰로오스. 흑후추가루. 향미유. 카라멜색소. 천연향신료. 5'-리보뉴클레오티드이나트륨,,,,,,
2016003338541,20160033385,#4 블렌드,골드버튼커피로스터스,커피,볶은커피원두,,,,,,
201700373347,20170037334,#45 스케일,인더매스,커피,커피원두. 커피원두. 커피원두,,,,,,
2016003338535,20160033385,#5 블렌딩,골드버튼커피로스터스,커피,볶은커피원두,,,,,,
201700373344,20170037334,#50 엘살바도르,인더매스,커피,커피원두,,,,,,
201700373346,20170037334,#50 파나마,인더매스,커피,커피원두,,,,,,
201700373349,20170037334,#50 파푸아 뉴기니,인더매스,커피,커피원두,,,,,,
2017003733410,20170037334,#55 디카페인,인더매스,커피,커피원두,,,,,,
201700373348,20170037334,#55 스케일,인더매스,커피,커피원두. 커피원두. 커피원두,,,,,,
201700373345,20170037334,#55 에티오피아,인더매스,커피,커피원두,,,,,,
201700373343,20170037334,#55 콜롬비아,인더매스,커피,커피원두,,,,,,
201700373342,20170037334,#65 스케일,인더매스,커피,커피원두. 커피원두,,,,,,
202002608962,20200260896,#DC,블루웨이브,커피,볶은커피원두,,,,,,
20190393064483,20190393064,#DC 콜드브루,주식회사 핸디엄,커피,커피추출액,,,,,,
2015037512935,20150375129,#건강한오늘깔라만시,(주)헬스앤라이프,과.채주스,칼라만시원액,,,,,,
2019035026692,20190350266,#그까이꺼대추,정우푸드,기타가공품,과채가공품. 정제소금,,,,,,
