row__PRDLST_REPORT_NO,row__LCNS_NO,row__PRDLST_NM,row__BSSH_NM,row__PRDLST_DCNM,row__RAWMTRL_NM,
201102753011,20110275301,180커피로스터스,180커피로스터스,커피,커피원두,
2016037726237,20160377262,180커피로스터스 티백커피,영농조합법인덕은,커피,커피,
2017012020931,20170120209,180커피로스터스콜렉티브,(주)케이코닉,커피,볶은커피,
198503110017402,19850311001,1830프리미엄피자소스,태원식품산업(주),소스,파프리카추출색소. 혼합제제. 옥수수기름(옥배유). 복합조미식품. 소스. 정제소금. 설탕. 변성전분. 소스. 마늘. 기타과당. 양파. 과채주스. 토마토페이스트. 천연향신료. 천연향신료. 후추가루. 정제수. 카라멜색소. 천연향신료. 천연향신료. 천연향신료. 천연향신료,
200804351681257,20080435168,184925(443851)치킨향시즈닝파우더,(주)신영에이치에스,복합조미식품,복합조미식품. 덱스트린. 정제소금. 포도당. 복합조미식품,
2006046720948,20060467209,185cm쌀,(주)대덕바이오,곡류가공품,찹쌀. L-lysine(국내산). L-아르기닌. 베타카로틴(고시형). 칼슘(고시형). 비타민 D3,
20030445025636,20030445025,185커큐민Plus+,(주)한국씨엔에스팜,기타식물성유지,젤라틴. 기타식물성유지,
199104450779019,19910445077,1860 조셉말린 피쉬 앤 칩스 타르타르소스,주식회사 동방푸드마스타,소스,마요네즈. 정제수. 절임식품. 설탕. 양파. 기타과당. 발효식초. 변성전분. 복합조미식품. 과.채가공품,
20130394199238,20130394199,1860 조셉말린 피쉬 앤 칩스(1860 Joseph Malin Fish & chips),주식회사다원F&B,과자,기타 어육가공품. 기타가공품. 옥수수기름(옥배유). 후추가루. 정제수. 서류가공품. 박력쌀가루,
20000042815190,20000042815,1865 황제용,선경바이오,기타가공품,마늘가루. 해조칼슘. 다시마분말. 홍삼분말. 대두곡물효소. 현미곡류효소. 실크펩타이드. 다미아나. 누에분말,
202103521781101,20210352178,186고추장소스,(주)에프앤에스식품제2공장,소스,물엿. 기타과당. 고춧가루. 마늘. 토마토케첩. 설탕. 혼합간장. 양파. 정제수. 고추장. 복합조미식품. 복합조미식품. L-글루탐산나트륨. 변성전분. 파라옥시안식향산에틸. 과.채가공품. 잔탄검. 생강. 파프리카추출색소. 올레오레진캡시컴. 청양고추,
202103521781100,20210352178,186닭강정소스,(주)에프앤에스식품제2공장,소스,물엿. 토마토케첩. 물엿. 설탕. 마늘. 정제수. 혼합간장. 양파. 고추장. 전분가공품. 소스. L-글루탐산나트륨. 고춧가루. 생강. 파프리카추출색소. 복합조미식품. 천연향신료. 천연향신료. 잔탄검. 5-리보뉴클레오티드이나트륨,
202103521781102,20210352178,186마늘간장소스,(주)에프앤에스식품제2공장,소스,5-리보뉴클레오티드이나트륨. 카라멜색소 Ⅲ. 천연향신료. 복합조미식품. 글리신. 발효식초. 소스. 포도당. 덱스트린. 사양벌꿀. 설탕. 마늘. 양조간장. 물엿. 향신료조제품. L-글루탐산나트륨,
