row__PRDLST_REPORT_NO,row__PRDLST_NM,row__BAR_CD,row__PRDLST_DCNM,row__BSSH_NM,row__INDUTY_NM
1990038612319,간식맛진미,8809142720072,조미건어포,삼영수산(주),식품제조가공업
199003700146,버터구이오징어,8804085001042,조미건어포,(주)신원종합상사,식품제조가공업
201002752151,BIOCIDER(바이오사이더),8809264000205,기구등의 살균·소독제,한국코스믹라운드(주),식품첨가물제조업
1992043308658,열무김치,8803104908058,김치,한국농협김치조합공동사업법인충북지사,식품제조가공업
199903643202,순더함 쌀조청,8809031278806,물엿,정남영농조합법인(제1공장),식품제조가공업
1979025700159,남양 임페리얼드림 XO Doctor 닥터 설사를 하는 아기용,8801069173115,영.유아용 특수조제식품,남양유업주식회사 세종공장,식품제조가공업
20070358224305,L-카르니틴 커피,8809148009973,커피,코스맥스엔비티(주),식품제조가공업
19550509001182,NH하나로진간장골드,8801791797900,혼합간장,매일식품주식회사,식품제조가공업
19850433015846,미니소보로,8801151230061,빵류,서울식품공업(주),식품제조가공업
19750202004186,Maxim 카페 카푸치노 헤이즐넛향,8801037042269,커피,동서식품(주),식품제조가공업
19690086003174,롯데자일리톨,880106210013,추잉껌,롯데웰푸드(주),식품제조가공업
1987018900164,우리돼지갈비살떡갈비,8801007140643,분쇄가공육제품,씨제이제일제당(주),축산물가공업-식육가공업
1985014406347,오징어짱다리,8803770128019,조미건어포,(주)명성리프레쉬,식품제조가공업
1972033800118,뚜부,8808330222862,두부,(주)오빌식품,식품제조가공업
19690086003200,칼라만화,8801062212750,추잉껌,롯데웰푸드(주),식품제조가공업
20030445042157,스마트이팅 설탕무첨가100%과일 감귤 슬러시,8809135302148,과.채가공품,(주)웰팜,식품제조가공업
196903920037,고바우 명란젓,8807261010975,양념젓갈,(주)고바우푸드,식품제조가공업
1972015400127,쫄병매콤한맛,8801043103403,유탕면,(주)농심,식품제조가공업
19710275003293,미니만쥬,8801016352198,빵류,(주)샤니,식품제조가공업
19690086003258,로티&로리,8801062216109,추잉껌,롯데웰푸드(주),식품제조가공업
2001054954167,오징어짬뽕컵,8801043808316,유탕면,(주)농심,식품제조가공업
198504330151032,더블브레드,8801151207056,빵류,서울식품공업(주),식품제조가공업
200902620921,훈제오리,8809405820037,프레스햄,유진식품,축산물가공업-식육가공업
19940607230204,13곡 미숫가루,8801703209101,곡류가공품,(주)신광식품,식품제조가공업
19980355336129,클리어5콜라겐,8809013351930,추잉껌,고려인삼과학(주),식품제조가공업
19980476015144,초이스엘(CHOICE L) 저지방칼슘우유,8806371303625,강화우유,(주) 푸르밀,축산물가공업-유가공업
1986033205140,맛새우칩,8801906166850,과자,(주)코스모스제과,식품제조가공업
2008036039544,유가,8801870948599,캔디류,쌀로만제과,식품제조가공업
1991046110112,조청유과,8801043026277,과자,(주)농심,식품제조가공업
19880205023240,에드워드권의 훈제연어,8809158912140,기타 수산물가공품,(주)유진수산,식품제조가공업
2005021102134,홍삼정마일드,8809020978069,인삼.홍삼음료,농업회사법인(주)삼흥,식품제조가공업
1983024000751,고향고추장 골드,8801389015423,고추장,(주)진미식품,식품제조가공업
2011044501321,반(飯)하는 통새우볶음밥,8809328450397,즉석조리식품,주식회사 인스밸류,식품제조가공업
1983036001619,콤보팩,8801083333168,과자,농심켈로그주식회사,식품제조가공업
1996037815826,멸치젓,8809387001455,젓갈,참맛촌,식품제조가공업
2009047601133,아이러브요거트 플레인,8809274510299,농후발효유,풀무원다논주식회사,축산물가공업-유가공업
1996050316112,죽염조선김,8802350176686,조미김,(주)대창식품,식품제조가공업
1972012500170,숯불구이맛 후랑크,8801066019416,소시지,(주)사조대림,축산물가공업-식육가공업
2001054954128,너구리우동순한맛,8801043001236,유탕면,(주)농심,식품제조가공업
19690086003338,빼빼로,8801062165971,초콜릿가공품,롯데웰푸드(주),식품제조가공업
19960458039318,내사랑레몬C,8801382139867,혼합음료,웅진식품(주),식품제조가공업
2004035835210,돌김,8805425193007,조미김,예맛식품,식품제조가공업
2001054954178,얼큰한너구리,8801043014984,유탕면,(주)농심,식품제조가공업
2001037013450,종합명과선물세트,8809072430027,과자,유진제과,식품제조가공업
1987058908021,몽고간장 양조,8801301052840,양조간장,몽고식품주식회사,식품제조가공업
2004044526815,충주사과비타미,8809001232029,캔디류,(주)아오스,식품제조가공업
1998044800425,그린리본 드라이에이징 베이컨,8801077552803,베이컨류,(주)진주햄,축산물가공업-식육가공업
19980467010114,보명한차,8801767900198,고형차,녹차원주식회사,식품제조가공업
19690086003675,애니타임,8801062233557,캔디류,롯데웰푸드(주),식품제조가공업
1998047600261,용가리치킨,8801492357090,분쇄가공육제품,(주)하림,축산물가공업-식육가공업
1990046400315,햇살 홍(紅)고춧가루,8803892000156,고춧가루,(주)진미농산,식품제조가공업
1993047202773,한울백김치,8801316011054,김치,농업회사법인 주식회사 한울,식품제조가공업
19880449001141,이마트 무진장매운맛 고추장,8801161320646,고추장,신송식품주식회사,식품제조가공업
1971023101114,과일맛젤리,8809027370033,캔디류,신성제과,식품제조가공업
200105191465,우리콩 옛날간장,8809135685678,한식간장,혜정농원영농조합법인,식품제조가공업
1976026200227,검은콩치즈,8801115634058,가공치즈,서울우유협동조합 안산공장,축산물가공업-유가공업
1973033200821,더위사냥 오렌지,8801104115100,빙과,(주)빙그레,식품제조가공업
200805581211,두루두루좋은오미자청,8809246440418,액상차,(주)두루존,식품제조가공업
1978061400972,제크,8801062244294,과자,롯데웰푸드(주),식품제조가공업
201205330961,동호성게알된장,8809367560040,한식된장,(주)동호성게된장,식품제조가공업
1996049502072,내추럴홍삼효소력,8809314908956,효소식품,주식회사 푸른생명,식품제조가공업
19990137322190,브라우니,8809387302422,빵류,(주)옵스,식품제조가공업
1996055806427,문경새재솔잎진액,8805331200530,액상차,이젠하우스 1공장,식품제조가공업
20010624112119,종가집김장김치,8801024052684,김치,대상(주)거창공장,식품제조가공업
20080458027181,양배추,8809126923819,과.채가공품,프레시플러스(주)공주제1공장,식품제조가공업
1974060600144,종합캔디,8803248000359,캔디류,칠성제과,식품제조가공업
1997044001814,계룡냉면,8809275552106,숙면,(주)계룡식품,식품제조가공업
199603781582,명란젓,8809387002483,젓갈,참맛촌,식품제조가공업
19690086003164,후라보노,8801062319756,추잉껌,롯데웰푸드(주),식품제조가공업
