row__PRDLST_REPORT_NO,row__PRDLST_NM,row__BAR_CD,row__PRDLST_DCNM,row__BSSH_NM,row__INDUTY_NM
1993046102294,연세 유기농두유,8801753002172,가공두유,연세대학교 연세유업,식품제조가공업
19940362206134,비빔냉면,8801364200059,숙면,삼오식품(주),식품제조가공업
1980034700269,디럭스짜장,8801052402277,소스,대상(주)기흥공장,식품제조가공업
20040227942439,후레쉬스트로베리,8809288632024,빵류,비알코리아(주)광주공장,식품제조가공업
201201748391,우방근차,8809176370021,침출차,티원코리아,식품제조가공업
19870368045131,계피향캔디,8801696003243,캔디류,(주)한일제과,식품제조가공업
201103725328,볶음 캐슈넛,8809374420443,땅콩 또는 견과류가공품,(주)산과들에,식품제조가공업
19760144008100,찌개된장A,8801126031846,된장,(주)오복식품,식품제조가공업
200904873803,콩까스,8809106089023,두류가공품,농업회사법인유한회사 대신물산  제2공장,식품제조가공업
200806210186,섬진강다슬기진액,8809298401047,기타가공품,(주)정옥,식품제조가공업
2001046725989,고려흑삼타블렛,8809082727414,기타가공품,(주)고려바이오홍삼,식품제조가공업
20040320032149,로즈마리(홀),8805017300301,천연향신료,(주)뚜레반,식품제조가공업
201306278863,프루낵(사과),8809393500232,과.채가공품,농업회사법인 주식회사 제주팜이십일,식품제조가공업
2013044700117,검정콩조림,8809371370710,조림류,(주)한스비앤에프 단양지점,식품제조가공업
2000021625214,청화볶음깨,8809135860501,기타가공품,(주)청화식품,식품제조가공업
2010040001437,마스크마스터즈 미니밀크 오리지날,8809394930366,캔디류,건국건강 영농조합법인,식품제조가공업
19830487051142,클래식 넛츠,8801117448509,초콜릿가공품,(주)오리온 제3익산공장,식품제조가공업
1983060601616,삼천포쥐치포,8809322370035,조미건어포,성일산업,식품제조가공업
2008061458749,정성가득 육개장,8809257828472,식육추출가공품,(주)아워홈,축산물가공업-식육가공업
1989047400859,두솔 순두부,8801491400452,두부,(주)두솔,식품제조가공업
200003201554,복분자꿀차,8809033180169,액상차,(주)고려인삼뿌리방,식품제조가공업
200003201554,복분자꿀차,8809033180169,액상차,(주)고려인삼뿌리방,식품제조가공업
1988044200468,발효숙성흑마늘600,8809231003741,액상차,풀무원건강생활(주),식품제조가공업
1998037900114,순살치킨까스,8809159652229,분쇄가공육제품,(주)신화푸드,축산물가공업-식육가공업
19870275001298,삼호 부산어묵 종합,8801242048612,어묵,씨제이 씨푸드 주식회사,식품제조가공업
1994045922947,대천김,8804702301623,조미김,(주)삼육수산,식품제조가공업
1999045915122,산푸드돌자반,8809029537007,조미김,신진수산맛김(주),식품제조가공업
19750443001206,설록 봄날 난꽃향 그린티,8801042631434,침출차,농업회사법인(주)오설록농장,식품제조가공업
19750443001206,설록 봄날 난꽃향 그린티,8801042631434,침출차,(주)오설록농장,식품제조가공업
2001046448024,무항생제 닭으로 만든 삼계탕,8809077297014,식육함유가공품,성연식품주식회사,식품제조가공업
2000018831129,카스테라,8809411770142,빵류,동산베이커리,식품제조가공업
2008034704324,해물 불 짬뽕,8809214248114,즉석조리식품,(주)태종FD,식품제조가공업
19960242067234,듀페애플시나몬플라워케이크,8801062519071,과자,롯데웰푸드(주),식품제조가공업
2010015622893,바미조아,8809374431784,곡류가공품,주식회사 바비조아,식품제조가공업
1990037001490,땅콩버터구이오징어(채),8804085030417,조미건어포,(주)신원종합상사,식품제조가공업
20060188160171,궁전방 햇살 조랭이,8809180370260,떡류,(주)궁전방,식품제조가공업
2008021633322,창희쫄면,8802151005208,숙면,(주)창희식품,식품제조가공업
197102750032089,하와이안팡,8801016353690,빵류,(주)샤니,식품제조가공업
20030347105710,까망베르치즈무스케익,8809331502618,빵류,(주)아워홈,식품제조가공업
1990046110354,아주존 순백후추,8802060002435,천연향신료,(주)우리승진식품,식품제조가공업
2009006999213,백앙금빵,8809287670140,빵류,(주)후피푸드,식품제조가공업
2004063143211,제주농장알로에겔차,8809185360266,액상차,제주농장영농조합법인,식품제조가공업
20010538182158,우리가족애 쌀국수(멸치맛),8801165012615,건면,주식회사미정,식품제조가공업
2008049903264,치즈웨지감자(냉동전비가열제춤/가열후섭취 냉동식품),8809363820025,서류가공품,전이수산,식품제조가공업
1997052601834,찹쌀가루,8808140300002,곡류가공품,나비골농협가공공장,식품제조가공업
2012018844068,농협안심닭 통닭,8809377550567,포장육,(주)우보식품,식육포장처리업
19980262020120,빅 함박스테이크,8807022000160,분쇄가공육제품,주식회사 태림에프웰,축산물가공업-식육가공업
197202880021179,스파게티면,8801045650050,숙면,주식회사 오뚜기,식품제조가공업
197604870055,다이제,8801117293222,과자,(주)오리온 제2익산공장,식품제조가공업
19960458039330,자연은 170일 배,8801382144236,과.채음료,웅진식품(주),식품제조가공업
19910481023100,두레원유자차,8802920004074,액상차,고려자연식품(주),식품제조가공업
1996037025031,김치만두,8809008630040,만두,(주)우리들식품,식품제조가공업
2000044104312,제주감귤,8801121505151,농축과.채즙(또는 과.채분),매일유업(주)영동공장,식품제조가공업
2012026207226,불고기후랑크,8809406030077,소시지,농업회사법인 킹스테이블(주),축산물가공업-식육가공업
1992020218440,티오 아이스티 복숭아맛,8801037048308,고형차,동서식품(주),식품제조가공업
19690086003100,이브,8801062310173,추잉껌,롯데웰푸드(주),식품제조가공업
1993047202772,한울총각김치,8801316011047,김치,농업회사법인 주식회사 한울,식품제조가공업
