row__PRDLST_REPORT_NO,row__PRDLST_NM,row__BAR_CD,row__PRDLST_DCNM,row__BSSH_NM,row__INDUTY_NM
199302880269,매실더덕,8809058610955,절임식품,하나원,식품제조가공업
199302880269,매실더덕,8809058610955,절임식품,하나원,식품제조가공업
1983036001681,오곡으로만든첵스초코알알이,8801083275000,시리얼류,농심켈로그주식회사,식품제조가공업
2011062737245,타미나신조흑깨,8809345318946,어묵,제주탐나씨푸드 영어조합법인,식품제조가공업
200703752613,다믄고추장,8805452000545,고추장,다믄촌,식품제조가공업
1964044800116,남양 임페리얼 XO Five Secret 2,8801069224701,영아용 조제유,남양유업 주식회사 천안공장,축산물가공업-유가공업
1993062101114,화개장터 둥글레차,8802453000697,침출차,화개악양농협가공사업부,식품제조가공업
1992053200114,가염전란액(살균),8809166470014,전란액,(주)삼애난가공,축산물가공업-알가공업
1995048430175,단호박 떡볶이,8809277318922,떡류,엠씨후디스 주식회사,식품제조가공업
199503380154935,요요꿀호떡호이호이,8801068077155,빵류,주식회사 에스피씨삼립,식품제조가공업
20070358224289,크레이지 에너지 파워 샷,8809148000796,기타가공품,코스맥스엔비티(주),식품제조가공업
20130528041137,제육볶음도시락,8809047017079,즉석섭취식품,(주)현대푸드시스템,식품제조가공업
19960449002823,울퉁불퉁,8801118130069,빙과,롯데웰푸드주식회사천안공장,식품제조가공업
19960308010225,비타500치어팩,8806002002088,혼합음료,광동제약주식회사,식품제조가공업
1991046110112,조청유과,8801043101783,과자,(주)농심,식품제조가공업
199504440562,괴산청결고추가루고추잠자리(골드용),8803844101108,고춧가루,괴산군조합공동사업법인,식품제조가공업
2008062410836,다시마부각,8809277330023,기타가공품,주식회사 하늘바이오 농업회사법인,식품제조가공업
2002018900929,유린기,8809220280153,분쇄가공육제품,(주)화인푸드,축산물가공업-식육가공업
1970023100313,한독다식,8809017740013,과자,한독제과,식품제조가공업
19850499011147,청정원순창구수한찌개된장,8801052735917,된장,대상(주),식품제조가공업
19910144038157,허브맛솔트순한맛,8801007189772,가공소금,씨제이제일제당주식회사,식품제조가공업
19970443119146,마이쮸,8801111103789,캔디류,(주)크라운제과진천공장,식품제조가공업
19980476015220,비피더스 시크릿 석류,8806371305575,발효유,(주) 푸르밀,축산물가공업-유가공업
1983024000745,청양초매실고추장,8801389013498,고추장,(주)진미식품,식품제조가공업
199503380153346,촉촉한슈슈,8801068035117,빵류,주식회사 에스피씨삼립,식품제조가공업
1978057500117,와일드 바디,8801062280353,아이스밀크,롯데웰푸드(주),축산물가공업-유가공업
198403200017,김밥용김,8801266123265,기타 수산물가공품,(주)진양,식품제조가공업
1989040100610,깍두기,8803760000066,김치,신동식품(주),식품제조가공업
19870358015239,본고장바지락칼국수,8801085068815,숙면,한일식품(주),식품제조가공업
2009044901858,simplus 콜롬비아 블렌드 홀빈 원두커피,8804645101069,커피,한국맥널티주식회사,식품제조가공업
201100426361,한석길의 잔치홍어무침,8809337700056,절임식품,참좋은푸드,식품제조가공업
1998025705236,통오이,8801253127467,절임식품,주식회사 일미농수산,식품제조가공업
19980449002389,써니텐스파클링레몬에이드,8801105911879,탄산음료,해태에이치티비주식회사,식품제조가공업
2006046402152,복음자리 샌드위치 오이피클,8805999846033,절임식품,주식회사 대상다이브스,식품제조가공업
200005880273,장(張)오리불고기,8809380450021,포장육,가나안축산,식육포장처리업
20050555180213,대웅 천종산삼배양근정 프리미엄,8809253640153,액상차,농업회사법인(주)동서웰빙,식품제조가공업
197503700031,홍삼벌꿀,8801579110730,혼합음료,주식회사 원식품,식품제조가공업
1994045922923,해바라기재래김,8804702301234,조미김,(주)삼육수산,식품제조가공업
196801630014,물렁과자,8809005230038,빵류,풍강제과,식품제조가공업
201304450149,야채카네바,8809317190358,어묵,씨제이씨푸드 주식회사,식품제조가공업
1974043300286,누룽지맛캔디,8809319810230,캔디류,이화제과,식품제조가공업
19900262001197,하이포크팜,8801052734897,프레스햄,대상델리하임 주식회사,축산물가공업-식육가공업
1993061906573,사조살코기참치 안심따개,8801075011944,기타 수산물가공품,사조산업(주)고성공장,식품제조가공업
1978061400926,가나,8801062166473,밀크초콜릿,롯데웰푸드(주),식품제조가공업
1994061222615,새우젓,8809324330396,젓갈,봉순이식품,식품제조가공업
1978037900120,대관령 고원우유,8801073521421,강화우유,삼양식품(주)유가공공장,축산물가공업-유가공업
199601990534,베이킹파우다,8809134850008,합성팽창제,가림산업(주),식품첨가물제조업
1971027500343,바로그대로토스트,8801016314622,빵류,(주)샤니,식품제조가공업
201303601664,콩조림,8809385390100,조림류,(주)더안코리아,식품제조가공업
2008012801720,쭈꾸미 양념볶음,8809342368951,기타 수산물가공품,(주)은하수산 암남지점,식품제조가공업
198506140551646,알뜰상품 사과,8809084010897,과.채음료,(주)엠에스씨(MSC),식품제조가공업
200105540096,황토생환청국장,8809117075077,청국장,하늘샘된장농원,식품제조가공업
19710275003421,꼬메뜨베이커리 스틱브런치,8801016218197,빵류,(주)샤니,식품제조가공업
1987036804582,종합제리,8801696001058,캔디류,(주)한일제과,식품제조가공업
1987037003312,호박엿,8803508100256,캔디류,고려식품,식품제조가공업
197102750033142,햄에그샐러드,8801016365327,빵류,(주)샤니,식품제조가공업
1998026203453,오뗄비어슁켄,8802266006435,프레스햄,(주)오뗄,축산물가공업-식육가공업
1985026200436,생·큐4.3,8801104210492,우유,(주)빙그레 광주공장,축산물가공업-유가공업
200503080546,올리비에포도씨유,8809305890079,기타식물성유지,(주)맛드림,식품제조가공업
19930472027209,스팸볶음김치,8801316122309,김치,농업회사법인 주식회사 한울,식품제조가공업
1976048700525,포도과즙 그대로 마이구미,8801117332204,캔디류,(주)오리온 제2익산공장,식품제조가공업
1980038305232,우리밀메밀국수,8807132007028,건면,유성제면,식품제조가공업
2010008074836,피넛쿠키,8809406370111,과자,더업코리아(the up korea),식품제조가공업
2010008074836,피넛쿠키,8809406370111,과자,더업코리아(the up korea),식품제조가공업
2003055418835,산삼배양근진액골드,8809171841335,인삼.홍삼음료,(주)비트로시스농업회사법인,식품제조가공업
1993061906578,사조 매콤한 고추 연어,8801075012279,기타 수산물가공품,사조산업(주)고성공장,식품제조가공업
2000062203730,지리산동결건조울금가루,8809358600199,고형차,경남생약농업협동조합,식품제조가공업
200806277691,오미자차,8809303860449,액상차,주식회사탐나는초콜릿,식품제조가공업
1994062100914,청학동 녹죽염,8804015999760,재제소금(재제조소금),청학동삼선당(주),식품제조가공업
199104930261,펭귄알알이포도,8801494858649,농축과.채즙(또는 과.채분),금한(주),식품제조가공업
2000060707721,해든나라동치미냉면육수,8809155581042,소스,(주)합천식품,식품제조가공업
19990144286123,야채어묵,8803122001212,어묵,주식회사 늘푸른바다,식품제조가공업
19880205023198,노르웨이 연어,8809158912058,기타 수산물가공품,(주)유진수산,식품제조가공업
19690364004621,좋은상품 고소한 누룽지,8801169800508,즉석조리식품,한국에스비식품(주),식품제조가공업
1986058904310,맥심스푼믹스,8801037056501,커피,동서식품(주),식품제조가공업
2002037226610,한들깨,8807931000558,기타가공품,(주)한식품,식품제조가공업
1978057500145,일품 찰떡와플,8801062404421,비유지방아이스크림,롯데웰푸드(주),축산물가공업-유가공업
1996037815847,가리비젓,8809387000045,양념젓갈,참맛촌,식품제조가공업
2000040206472,내린천 산마늘 장아찌,8803290303385,절임식품,기린농협가공사업소,식품제조가공업
19950443119121,양반 아삭 김치,8801047584032,김치,(주)동원F&B,식품제조가공업
201202941131,양념이랑꽃게랑,8809367140013,절임식품,남강푸드,식품제조가공업
2012037017997,유기농조리떡,8809379360034,떡류,한소담,식품제조가공업
1997030407824,장어구이양념(순한맛),8809016542168,소스,일송식품,식품제조가공업
201303470921,고추지,8809354870190,절임식품,(주)이음푸드시스템 가동,식품제조가공업
2003026203552,양념소LA갈비,8809347800791,양념육,농업회사법인 꿀맛나는세상 주식회사,축산물가공업-식육가공업
2002046721513,명품녹용홍삼진액,8809228150083,추출가공식품,농업회사법인 주식회사 한국삼,식품제조가공업
200905121333,브레인트로피아국화차,8806140600016,침출차,(주)바이오스타줄기세포기술연구원,식품제조가공업
19780614009244,드림파이,8801062267309,초콜릿가공품,롯데웰푸드(주),식품제조가공업
200403555805,참기름,8801045910611,참기름,오뚜기냉동식품 주식회사,식품제조가공업
2001054954133,농심육개장,8801043807784,유탕면,(주)농심,식품제조가공업
2010015622875,산수유미,8809374431838,곡류가공품,주식회사 바비조아,식품제조가공업
1993062302452,인산 자죽염 분말,8801969335057,태움.용융소금,(주)인산가,식품제조가공업
1998052912027,해초미인 123,8809296090106,묵류,(주)해청정,식품제조가공업
2001046711655,고려홍삼절편삼,8809112987092,당절임,금산덕원인삼약초영농조합법인,식품제조가공업
2013050117357,볶음탕용,8809385941128,포장육,(주)참프레,식육포장처리업
1988044900168,양조간장,8801161226283,양조간장,신송식품주식회사,식품제조가공업
200905200875,상상 뽕잎차,8809290032010,침출차,농업회사법인 상상팜랜드(주),식품제조가공업
200703322381,벌꿀,8809142071068,벌꿀,정용자벌꿀,식품제조가공업
201001250098,철마한우갈비탕,8809330670196,식육추출가공품,주식회사 유니버셜푸드랩,축산물가공업-식육가공업
2001043301617,자연순고춧가루(골드) 2,8809124502559,고춧가루,농업회사법인(주)금성농산,식품제조가공업
20120362606109,소스에찍어먹는 꼬마김밥,8809369420458,즉석섭취식품,(주)그린키친,식품제조가공업
19860560012206,고향맛포기김치,8801926204501,김치,(주)도들샘,식품제조가공업
201101570181,돼지고추장불고기,8809411051043,양념육,주식회사 우보식품,축산물가공업-식육가공업
19760262002260,그녀를 3번 생각한 저지방 요구르트 크랜베리,8801115223023,농후발효유,서울우유협동조합 안산공장,축산물가공업-유가공업
19930242053279,레쓰비카페타임스위트아메리카노,8801056059736,커피,롯데칠성음료(주),식품제조가공업
20030262041119,크라카워,8809013406081,소시지,에쓰푸드홀딩스 주식회사,축산물가공업-식육가공업
197804810012,볶은소금,8805976300015,태움.용융소금,국민제염,식품제조가공업
2009008701011,피스 아메리카노,8809337835024,커피,(주)카페티모르,식품제조가공업
2006037900415,범산목장 유기농 아이스크림 딸기,8809194161526,아이스크림,범산목장,축산물가공업-유가공업
2012060800814,타우린에프,8809385785234,혼합음료,(주)한보메디팜,식품제조가공업
20080275252171,화이트 롤케익,8809268610097,빵류,구스F&B(주) 1공장,식품제조가공업
1973028800616,데미소다 그레이프,8801097268012,탄산음료,동아오츠카(주),식품제조가공업
19880383127108,손칼국수,8801073101586,유탕면,삼양식품(주)원주공장,식품제조가공업
1994044900545,아카시아후레쉬,8801019410116,추잉껌,해태제과식품(주)천안2공장,식품제조가공업
19980355336172,홍삼34,8809013352722,인삼.홍삼음료,고려인삼과학(주),식품제조가공업
19750202004186,Maxim 카페 카푸치노 헤이즐넛향,8801037019421,커피,동서식품(주),식품제조가공업
1997051507131,뽕잎유과,8809004038093,과자,농업회사법인 (주)담양한과명진식품,식품제조가공업
20020623009104,유기농믹스,8809125060225,과.채주스,퓨어플러스(주),식품제조가공업
19980476002590,하림 슬림통살 닭가슴살,8801492362803,프레스햄,(주)하림,축산물가공업-식육가공업
197102750031020,피넛 크림빵,8801016332022,빵류,(주)샤니,식품제조가공업
1963014400271,[냉동] 모듬 어묵,8803767038017,어묵,미도식품,식품제조가공업
19720288002650,사과식초,8801045912073,발효식초,주식회사 오뚜기,식품제조가공업
2002054362211,푸른들엿질금,8807071000098,곡류가공품,푸른들농산(주),식품제조가공업
2011035583361,솔직한 케일&키위주스,8809066571125,과.채주스,농업회사법인토마토주식회사,식품제조가공업
19930472005410,손만두(고기만두),8801759001940,만두,칠갑농산 주식회사,식품제조가공업
198504330151022,땅콩단팥빵,8801151012339,빵류,서울식품공업(주),식품제조가공업
19910144038433,맛소금,8801007229096,가공소금,씨제이제일제당주식회사,식품제조가공업
2000056021024,떡볶이스낵,8809036248224,과자,"스위티코리아 주식회사(Sweetie Corea Co., Ltd)",식품제조가공업
1987046106863,콘?,8801111611961,과자,(주)크라운제과 아산공장,식품제조가공업
1995036206626,녹두 빈대떡가루,8803612000275,두류가공품,전원식품,식품제조가공업
1998046701016,둥굴레차,8801767810107,침출차,녹차원주식회사,식품제조가공업
19780368002409,델몬트아사이베리앤블루베리,8801056065874,과.채음료,롯데칠성음료(주),식품제조가공업
201103452236,유기농 마라와카 블루마운틴커피,8809347360035,커피,주)게포커피,식품제조가공업
2009026204590,소갈비살 꼬치,8809331503707,양념육,주식회사 아워홈,축산물가공업-식육가공업
1999036439316,딸기스므디,8801402880458,당시럽류,(주)한국에프앤티,식품제조가공업
19710275003430,야채고로케,8801016326809,빵류,(주)샤니,식품제조가공업
201205710831,예천어무이들기름,8809379571102,들기름,영농조합법인 참들,식품제조가공업
2005058804041,한우목뼈,8809393320397,포장육,마산식육유통,식육포장처리업
2010036234838,미숫가루,8809161136199,기타가공품,자연과나,식품제조가공업
19980257052170,이마트 무농약 재배 무로 만든 쌈무,8801253125258,절임식품,주식회사 일미농수산,식품제조가공업
199502620062,바베큐폭립,8809013401680,갈비가공품,에쓰푸드(주),축산물가공업-식육가공업
